"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1,235389440E-1;1,009000000E-3;-4,360000021E-4;1,991100051E-2
1,332257130E-1;-3,450999968E-3;1,515000011E-3;-5,917499959E-2
1,429132130E-1;-3,450999968E-3;1,515000011E-3;-5,917499959E-2
1,525999830E-1;-3,450999968E-3;1,515000011E-3;-5,917499959E-2
1,622859150E-1;-7,489999989E-4;3,039999865E-4;-1,353400014E-2
1,719726120E-1;-7,489999989E-4;3,039999865E-4;-1,353400014E-2
1,816601500E-1;9,159999900E-4;-3,720000095E-4;1,753799990E-2
1,913468470E-1;9,159999900E-4;-3,720000095E-4;1,753799990E-2
2,010327700E-1;1,659999980E-4;-6,600000052E-5;3,218000056E-3
2,107195390E-1;1,659999980E-4;-6,600000052E-5;3,218000056E-3
2,204070010E-1;-1,402999973E-3;5,859999801E-4;-2,521999925E-2
2,300937990E-1;-1,402999973E-3;5,859999801E-4;-2,521999925E-2
2,397797220E-1;-2,857000101E-3;1,250999980E-3;-4,992099851E-2
2,494664090E-1;-2,857000101E-3;1,250999980E-3;-4,992099851E-2
2,591539480E-1;-7,510000141E-4;3,150000121E-4;-1,369499974E-2
2,688406350E-1;-7,510000141E-4;3,150000121E-4;-1,369499974E-2
2,785265580E-1;1,500000071E-4;-6,500000018E-5;2,962999977E-3
2,882133280E-1;1,500000071E-4;-6,500000018E-5;2,962999977E-3
2,979007890E-1;-6,849999772E-4;2,840000088E-4;-1,294900011E-2
3,075875870E-1;-6,849999772E-4;2,840000088E-4;-1,294900011E-2
3,172735110E-1;-1,943000010E-3;8,580000140E-4;-3,500799835E-2
3,269602270E-1;-1,943000010E-3;8,580000140E-4;-3,500799835E-2
3,366477650E-1;-1,404999988E-3;5,799999926E-4;-2,515500039E-2
3,463345150E-1;-1,404999988E-3;5,799999926E-4;-2,515500039E-2
3,560203610E-1;-2,985900082E-2;-1,170000032E-4;-1,631299965E-2
3,657071300E-1;-2,985900082E-2;-1,170000032E-4;-1,631299965E-2
3,753945920E-1;-3,013999946E-2;5,425999872E-3;7,149999728E-4
3,850813660E-1;-3,013999946E-2;5,425999872E-3;7,149999728E-4
3,947672890E-1;-1,346699987E-2;-4,189999891E-4;-2,312799916E-2
4,044540430E-1;-1,346699987E-2;-4,189999891E-4;-2,312799916E-2
4,141415820E-1;-2,146000043E-3;-4,860000219E-3;-3,907699883E-2
4,238282740E-1;-2,146000043E-3;-4,860000219E-3;-3,907699883E-2
4,335141970E-1;-2,677099966E-2;-1,012699958E-2;-1,816000044E-2
4,432009470E-1;-2,677099966E-2;-1,012699958E-2;-1,816000044E-2
4,528884090E-1;-1,637399942E-2;2,253999934E-3;-8,173000067E-3
4,625751780E-1;-1,637399942E-2;2,253999934E-3;-8,173000067E-3
4,722611010E-1;-1,637399942E-2;2,253999934E-3;-8,173000067E-3
4,819477650E-1;-1,402899995E-2;6,413000170E-3;-3,705399856E-2
4,916352980E-1;-1,402899995E-2;6,413000170E-3;-3,705399856E-2
5,013219900E-1;-2,304399945E-2;8,786999620E-3;-2,504399978E-2
5,110079860E-1;-2,304399945E-2;8,786999620E-3;-2,504399978E-2
5,206946790E-1;-2,920199931E-2;1,093799993E-2;-3,008800000E-2
5,303822120E-1;-2,920199931E-2;1,093799993E-2;-3,008800000E-2
5,400689050E-1;-2,515700087E-2;-7,329999935E-4;-2,008300088E-2
5,497549050E-1;-2,515700087E-2;-7,329999935E-4;-2,008300088E-2
5,594415970E-1;-1,771200076E-2;8,027999662E-3;-2,703399956E-2
5,691291400E-1;-1,771200076E-2;8,027999662E-3;-2,703399956E-2
5,788158330E-1;-1,586199924E-2;5,357000045E-3;-3,501800075E-2
5,885017650E-1;-1,586199924E-2;5,357000045E-3;-3,501800075E-2
5,981885340E-1;-2,038599923E-2;2,048600093E-2;-2,704099938E-2
6,078760250E-1;-2,038599923E-2;2,048600093E-2;-2,704099938E-2
6,175627170E-1;-2,531800047E-2;8,775999770E-3;-2,003799938E-2
6,272486350E-1;-2,531800047E-2;8,775999770E-3;-2,003799938E-2
6,369354040E-1;-1,764499955E-2;-2,722000005E-3;-3,700799868E-2
6,466228850E-1;-1,764499955E-2;-2,722000005E-3;-3,700799868E-2
6,563095770E-1;-2,577500045E-2;9,579000063E-3;-3,499399871E-2
6,659955770E-1;-2,577500045E-2;9,579000063E-3;-3,499399871E-2
6,756822700E-1;-1,547699980E-2;-5,334999878E-3;-3,200799972E-2
6,853698140E-1;-1,547699980E-2;-5,334999878E-3;-3,200799972E-2
6,950565060E-1;-2,039000019E-2;1,975999912E-3;-1,300599985E-2
7,047425250E-1;-2,039000019E-2;1,975999912E-3;-1,300599985E-2
7,144292180E-1;-1,350000035E-2;7,302000187E-3;-2,299199998E-2
7,241167510E-1;-1,350000035E-2;7,302000187E-3;-2,299199998E-2
7,338035200E-1;-1,362700015E-2;-1,388999983E-3;-2,297800034E-2
7,434894200E-1;-1,362700015E-2;-1,388999983E-3;-2,297800034E-2
7,531761120E-1;-1,355099957E-2;5,940999836E-3;-3,197399899E-2
7,628636310E-1;-1,355099957E-2;5,940999836E-3;-3,197399899E-2
7,725504010E-1;-1,355099957E-2;5,940999836E-3;-3,197399899E-2
7,822363620E-1;-1,588300057E-2;6,419999991E-3;-3,694399819E-2
7,919230820E-1;-1,588300057E-2;6,419999991E-3;-3,694399819E-2
8,016106210E-1;-2,281600051E-2;3,728999989E-3;-3,494099900E-2
8,112973090E-1;-2,281600051E-2;3,728999989E-3;-3,494099900E-2
8,209833090E-1;-1,573899947E-2;-2,960999962E-3;-3,693699837E-2
8,306699820E-1;-1,573899947E-2;-2,960999962E-3;-3,693699837E-2
8,403575210E-1;-8,666000329E-3;4,362000152E-3;-2,693299949E-2
8,500442230E-1;-8,666000329E-3;4,362000152E-3;-2,693299949E-2
8,597302230E-1;-1,081799995E-2;1,968500018E-2;-4,191799834E-2
8,694169190E-1;-1,081799995E-2;1,968500018E-2;-4,191799834E-2
8,791044580E-1;-1,077700034E-2;2,497499995E-2;-2,491299994E-2
8,887911410E-1;-1,077700034E-2;2,497499995E-2;-2,491299994E-2
8,984771410E-1;-1,573799923E-2;1,523900032E-2;-3,190800175E-2
9,081638240E-1;-1,573799923E-2;1,523900032E-2;-3,190800175E-2
9,178513620E-1;-1,769899949E-2;5,489999894E-3;-1,590500027E-2
9,275380400E-1;-1,769899949E-2;5,489999894E-3;-1,590500027E-2
9,372240400E-1;-1,586700045E-2;1,373399980E-2;-2,989000082E-2
9,469107180E-1;-1,586700045E-2;1,373399980E-2;-2,989000082E-2
9,565982560E-1;-2,082699910E-2;1,396699995E-2;-2,488600090E-2
9,662849490E-1;-2,082699910E-2;1,396699995E-2;-2,488600090E-2
9,759709490E-1;-2,077700011E-2;9,189999662E-3;-2,488300018E-2
9,856576410E-1;-2,077700011E-2;9,189999662E-3;-2,488300018E-2
9,953451020E-1;-1,571200043E-2;9,425999597E-3;-3,188100085E-2
1,005031891E0;-1,571200043E-2;9,425999597E-3;-3,188100085E-2
1,014717814E0;-1,786299981E-2;1,465000026E-2;-2,986799926E-2
1,024404583E0;-1,786299981E-2;1,465000026E-2;-2,986799926E-2
1,034092122E0;-2,280499972E-2;9,863999672E-3;-2,686499991E-2
1,043778838E0;-2,280499972E-2;9,863999672E-3;-2,686499991E-2
1,053464838E0;-2,273399942E-2;1,207699999E-2;-2,486399934E-2
1,063151544E0;-2,273399942E-2;1,207699999E-2;-2,486399934E-2
1,072839083E0;-2,264700085E-2;7,298999932E-3;-3,486400098E-2
1,082525761E0;-2,264700085E-2;7,298999932E-3;-3,486400098E-2
1,092211761E0;-2,264700085E-2;7,298999932E-3;-3,486400098E-2
1,101898448E0;-2,095199935E-2;1,567899995E-2;-1,783799939E-2
1,111586005E0;-2,095199935E-2;1,567899995E-2;-1,783799939E-2
1,121272697E0;-1,584400050E-2;1,987100020E-2;-2,483900078E-2
1,130958712E0;-1,584400050E-2;1,987100020E-2;-2,483900078E-2
1,140645405E0;-8,741999976E-3;2,004699968E-2;-4,184100032E-2
1,150332938E0;-8,741999976E-3;2,004699968E-2;-4,184100032E-2
1,160019630E0;-2,066200040E-2;4,209000152E-3;-3,684100136E-2
1,169705620E0;-2,066200040E-2;4,209000152E-3;-3,684100136E-2
1,179392313E0;-3,278600052E-2;2,038899995E-2;-2,483000048E-2
1,189079814E0;-3,278600052E-2;2,038899995E-2;-2,483000048E-2
1,198766507E0;-2,587799914E-2;1,656500064E-2;-2,982000075E-2
1,208452512E0;-2,587799914E-2;1,656500064E-2;-2,982000075E-2
1,218139204E0;-2,796600014E-2;2,072099969E-2;-2,681099996E-2
1,227826737E0;-2,796600014E-2;2,072099969E-2;-2,681099996E-2
1,237513430E0;-3,004099987E-2;8,861999959E-3;-2,680400014E-2
1,247199439E0;-3,004099987E-2;8,861999959E-3;-2,680400014E-2
1,256886131E0;-1,089300029E-2;9,224000387E-3;-3,880300000E-2
1,266573617E0;-1,089300029E-2;9,224000387E-3;-3,880300000E-2
1,276260309E0;-1,776600070E-2;2,138699964E-2;-4,380600154E-2
1,285946319E0;-1,776600070E-2;2,138699964E-2;-4,380600154E-2
1,295632934E0;-1,564699970E-2;9,535999969E-3;-3,180899844E-2
1,305320550E0;-1,564699970E-2;9,535999969E-3;-3,180899844E-2
1,315007242E0;-1,553199999E-2;1,270500012E-2;-3,881200030E-2
1,324693242E0;-1,553199999E-2;1,270500012E-2;-3,881200030E-2
1,334379857E0;-2,043100074E-2;1,986600086E-2;-2,981299907E-2
1,344067449E0;-2,043100074E-2;1,986600086E-2;-2,981299907E-2
1,353754141E0;-3,327999962E-3;2,501400001E-2;-2,981599979E-2
1,363440097E0;-3,327999962E-3;2,501400001E-2;-2,981599979E-2
1,373126790E0;-1,525500044E-2;1,813899912E-2;-3,481699899E-2
1,382814300E0;-1,525500044E-2;1,813899912E-2;-3,481699899E-2
1,392501069E0;-1,525500044E-2;1,813899912E-2;-3,481699899E-2
1,402186982E0;-2,227099985E-2;2,242499962E-2;-2,680799924E-2
1,411873651E0;-2,227099985E-2;2,242499962E-2;-2,680799924E-2
1,421561189E0;-1,538399979E-2;1,351599954E-2;-2,979999967E-2
1,431247963E0;-1,538399979E-2;1,351599954E-2;-2,979999967E-2
1,440933887E0;-2,050700039E-2;1,561500039E-2;-2,979099937E-2
1,450620655E0;-2,050700039E-2;1,561500039E-2;-2,979099937E-2
1,460308116E0;-1,341900043E-2;1,371600013E-2;-3,879300132E-2
1,469994901E0;-1,341900043E-2;1,371600013E-2;-3,879300132E-2
1,479680824E0;-2,033600025E-2;8,836000226E-3;-4,179500043E-2
1,489367602E0;-2,033600025E-2;8,836000226E-3;-4,179500043E-2
1,499055064E0;-2,746200003E-2;2,295799926E-2;-3,878499940E-2
1,508741857E0;-2,746200003E-2;2,295799926E-2;-3,878499940E-2
1,518427780E0;-1,736499928E-2;1,906600036E-2;-3,878699988E-2
1,528114583E0;-1,736499928E-2;1,906600036E-2;-3,878699988E-2
1,537802045E0;-1,048099995E-2;1,417099964E-2;-2,977900021E-2
1,547488790E0;-1,048099995E-2;1,417099964E-2;-2,977900021E-2
1,557174713E0;-2,240700088E-2;1,627999917E-2;-2,477999963E-2
1,566861535E0;-2,240700088E-2;1,627999917E-2;-2,477999963E-2
